"altitude [km]","mixing ratio of CO [ppm]"
60.087609511889866,49.35974394544959
61.48936170212767,51.191612891121466
62.89111389236547,54.56248783154519
64.11764705882354,41.13801417068829
64.99374217772215,32.16758058618146
65.95744680851064,25.615711852034636
66.92115143929912,19.848378115037807
68.14768460575719,14.168873129682312
69.11138923654569,10.300505916054503
69.89987484355444,10.300505916054503
70.9511889862328,17.313219842644497
72.09011264080101,30.73519720107805
74.63078848560701,30.456467152260604
76.03254067584481,30.456467152260604
79.01126408010012,21.544346900318846
81.98998748435545,15.3795497104727
85.75719649561952,10.300505916054503
87.24655819774719,9.931906924019179
88.73591989987486,10.394773596625367
90.83854818523155,15.101867748712447
92.94117647058825,21.544346900318846
96.00750938673343,38.24648196973346
98.02252816020027,56.07426637755582
101.08886107634544,102.30366602856216
104.94367959949938,221.91767270426453
109.06132665832291,455.7783682144369
111.16395494367961,686.7445985095601
115.28160200250313,1449.5276646600878
118.17271589486859,2573.2659220331966
120.10012515644557,3842.1094544969637
123.16645807259074,6576.608330360955
125.00625782227786,9730.397088776584
