"altitude [km]","imaginary part of dielectric constant []"
0.788954635108496,4.1158221302998964e-7
1.8408941485864148,3.826266804550155e-7
2.366863905325431,3.5470527404343335e-7
3.9447731755424797,3.309203722854188e-7
4.996712689020342,3.092037228541882e-7
6.5746219592373905,2.874870734229576e-7
7.626561472715309,2.668045501551189e-7
8.678500986193285,2.2750775594622544e-7
9.730440499671317,2.0992761116856256e-7
12.360289283366228,1.7993795243019648e-7
14.46416831032218,1.514994829369183e-7
18.145956607495066,1.075491209927611e-7
19.723865877712058,9.772492244053774e-8
21.301775147928993,8.479834539813856e-8
22.35371466140697,7.238883143743538e-8
23.93162393162396,6.359875904860391e-8
25.509533201840895,5.791106514994829e-8
28.139381985535806,4.9638055842812816e-8
29.19132149901384,4.5501551189245086e-8
29.19132149901384,3.981385729058945e-8
32.873109796186725,3.309203722854188e-8
35.502958579881636,2.895553257497415e-8
38.65877712031562,2.5853154084798337e-8
41.28862590401053,2.5853154084798337e-8
44.97041420118347,3.309203722854188e-8
44.44444444444446,4.5501551189245086e-8
46.02235371466145,5.997931747673217e-8
46.54832347140041,4.601861427094104e-8
48.65220249835636,3.412616339193381e-8
48.65220249835636,1.2409513960703204e-8
50.75608152531231,9.307135470527403e-9
53.12294543063774,6.204756980351602e-9
55.48980933596317,2.5853154084798364e-9
60.22353714661409,0
375.27942143326766,0
