"altitude [km]","3212 [ppm]","3213 [ppm]","3214 [ppm]"
35.0,0.592441266598569,0.15291750503018076,
35.5,0.6935648621041866,0.5050301810865188,0.6156941649899395
36.0,0.996935648621041,0.9275653923541247,0.8571428571428577
36.5,1.5301327885597544,1.048289738430583,1.2092555331991957
37.0,1.9530132788559742,1.309859154929577,1.6921529175050312
37.5,2.0173646578140954,1.9134808853118699,2.2555331991951713
38.0,2.2012257405515827,3.6438631790744447,3.28169014084507
38.5,2.6884576098059236,5.323943661971832,4.629778672032195
39.0,3.221654749744637,5.625754527162979,5.645875251509056
39.5,3.1481103166496416,4.0663983903420515,6.098591549295776
40.0,2.927477017364657,2.4466800804828948,5.0120724346076475
40.5,2.817160367722164,1.7625754527162973,3.331991951710263
41.0,2.6884576098059236,1.9738430583500994,2.5271629778672047
41.5,2.6884576098059236,2.6579476861166995,2.8289738430583515
42.0,2.95505617977528,2.7786720321931577,3.12072434607646
42.5,3.221654749744637,2.979879275653923,2.8893360160965793
43.0,3.359550561797753,3.3420523138832996,3.1810865191146886
43.5,3.24923391215526,4.29778672032193,3.9054325955734424
44.0,3.4422880490296217,4.066398390342051,4.408450704225354
44.5,4.003064351378959,3.402414486921529,4.438631790744468
45.0,4.19611848825332,4.750503018108654,3.5331991951710267
45.5,4.251276813074564,4.901408450704224,4.106639839034206
46.0,4.462717058222675,3.4325955734406435,5.042253521126764
46.5,4.334014300306435,6.128772635814888,4.770623742454729
47.0,4.0122574055158315,4.509054325955734,4.046277665995978
47.5,3.791624106230848,3.824949698189136,3.804828973843059
48.0,3.1481103166496416,2.859154929577464,3.6539235412474866
48.5,2.3942798774259435,1.611670020120724,2.5472837022132797
49.0,1.9070480081716017,1.400402414486921,0.06237424547283732
49.5,1.8794688457609796,1.9939637826961762,0.24346076458752597
50.0,1.0153217568947905,0.7967806841046272,0.7766599597585522
50.5,-0.8692543411644542,-0.8430583501006037,0.8370221327967817
51.0,-0.8416751787538308,1.098591549295774,1.0482897384305847
51.5,0.10520939734422896,0.474849094567404,1.1991951710261581
52.0,0.27068437180796723,-0.27967806841046317,0.6861167002012074
52.5,0.160367722165474,1.0080482897384302,-0.008048289738430636
53.0,-0.2441266598569971,-0.7826961770623742,0.323943661971831
53.5,0.1327885597548515,0.08249496981891324,0.14285714285714324
54.0,0.1603677221654749,-0.7525150905432598,0.464788732394366
54.5,-0.731358529111338,,-0.21931589537223406
55.0,-0.703779366700716,,-0.7022132796780682
