"Altitude [km]","Absorption [dB/km]"
35.138,0.01746
35.42,0.01764
35.671,0.01814
35.904,0.01884
36.128,0.01964
36.344,0.02053
36.548,0.02149
36.732,0.0224
36.904,0.02309
37.07,0.02342
37.232,0.0234
37.393,0.02313
37.563,0.02282
37.725,0.0226
37.886,0.02255
38.047,0.0227
38.208,0.0231
38.358,0.0237
38.496,0.02433
38.632,0.02486
38.769,0.02531
38.904,0.02573
39.035,0.02608
39.153,0.02618
39.273,0.0259
39.394,0.0253
39.519,0.02453
39.643,0.02375
39.768,0.02304
39.892,0.02245
40.016,0.02198
40.139,0.0216
40.253,0.02121
40.367,0.02078
40.481,0.02032
40.592,0.01988
40.702,0.01948
40.811,0.01914
40.917,0.01884
41.022,0.01858
41.126,0.01834
41.23,0.01812
41.334,0.01793
41.437,0.01778
41.539,0.01767
41.642,0.01761
41.74,0.01758
41.838,0.01758
41.936,0.0176
42.032,0.01765
42.127,0.01774
42.22,0.01783
42.311,0.01789
42.402,0.0179
42.494,0.01786
42.585,0.01777
42.675,0.01765
42.768,0.01751
42.861,0.0174
42.955,0.0173
43.048,0.0172
43.138,0.01704
43.227,0.01681
43.316,0.0165
43.407,0.01618
43.5,0.01591
43.588,0.01569
43.675,0.01549
43.761,0.01534
43.848,0.01528
43.933,0.01531
44.018,0.01544
44.101,0.01563
44.184,0.01583
44.268,0.01602
44.35,0.01618
44.433,0.0163
44.513,0.01637
44.591,0.01641
44.669,0.0164
44.747,0.01637
44.825,0.0163
44.901,0.01621
44.976,0.01608
45.051,0.01592
45.125,0.01576
45.2,0.01562
45.274,0.01552
45.348,0.01547
45.421,0.01548
45.494,0.01553
45.567,0.01561
45.639,0.01569
45.711,0.01573
45.782,0.01571
45.854,0.01562
45.926,0.01547
45.999,0.01529
46.072,0.01508
46.147,0.01487
46.221,0.01467
46.295,0.01449
46.368,0.01433
46.441,0.01419
46.512,0.01406
46.583,0.01392
46.653,0.01374
46.723,0.01352
46.793,0.01328
46.862,0.01303
46.931,0.01277
47.0,0.01251
47.069,0.01228
47.138,0.01208
47.207,0.01191
47.274,0.01176
47.342,0.01162
47.41,0.01149
47.478,0.01138
47.545,0.01129
47.611,0.0112
47.677,0.01106
47.744,0.01086
47.81,0.01057
47.876,0.01021
47.944,0.00981
48.011,0.0094
48.078,0.009
48.145,0.00863
48.212,0.00828
48.278,0.00797
48.344,0.00768
48.41,0.00741
48.476,0.00715
48.541,0.00692
48.606,0.0067
48.67,0.0065
48.735,0.00632
48.799,0.00616
48.863,0.00602
48.927,0.00589
48.991,0.00579
49.055,0.0057
49.118,0.00563
49.182,0.00558
49.245,0.00554
49.308,0.00552
49.37,0.00549
49.434,0.00548
49.497,0.00547
49.561,0.00543
49.625,0.00537
49.687,0.00526
49.75,0.00508
49.812,0.00481
49.875,0.00447
49.937,0.00404
49.998,0.00354
50.06,0.003
50.121,0.00243
50.182,0.00186
50.243,0.00131
50.305,0.00077
50.366,0.00026
50.427,-0.00021
50.488,-0.00063
50.549,-0.00099
50.61,-0.00128
50.671,-0.0015
50.731,-0.00168
50.791,-0.0018
50.852,-0.00186
50.912,-0.00185
50.972,-0.00175
51.032,-0.00156
51.091,-0.00128
51.151,-0.00094
51.21,-0.00055
51.27,-0.00013
51.329,0.0003
51.389,0.00073
51.448,0.00113
51.507,0.00149
51.566,0.00175
51.625,0.00192
51.684,0.00198
51.743,0.00196
51.801,0.00189
51.86,0.0018
51.919,0.00173
51.977,0.00168
52.035,0.00165
52.093,0.00164
52.151,0.00165
52.21,0.00165
52.268,0.00164
52.326,0.00162
52.384,0.00157
52.442,0.0015
52.499,0.00141
52.557,0.00132
52.615,0.00124
52.672,0.00117
52.73,0.00111
52.787,0.00104
52.845,0.00096
52.902,0.00088
52.959,0.0008
53.017,0.00075
53.074,0.00072
53.131,0.00073
53.188,0.00076
53.245,0.00082
53.302,0.0009
53.359,0.001
53.415,0.0011
53.472,0.00119
53.529,0.00127
53.585,0.00133
53.642,0.00137
53.698,0.00139
53.754,0.00139
53.811,0.00136
53.867,0.00131
53.923,0.00123
53.979,0.00114
54.035,0.00105
54.091,0.00094
54.148,0.00081
54.204,0.00066
54.26,0.00049
54.316,0.00032
54.372,0.00016
54.428,1e-05
54.484,-0.00012
54.539,-0.00024
54.595,-0.00034
54.651,-0.00041
54.706,-0.00045
54.762,-0.00044
54.817,-0.00038
54.873,-0.00029
54.928,-0.00016
54.983,-3e-05
55.039,9e-05
55.094,0.0002
55.149,0.00028
55.204,0.00031
55.26,0.00031
55.315,0.00027
55.37,0.00021
55.425,0.00015
55.48,0.0001
55.535,5e-05
55.59,2e-05
55.645,0.0
55.7,1e-05
55.755,4e-05
55.81,0.0001
55.864,0.00018
55.919,0.00027
55.973,0.00036
56.027,0.00044
56.082,0.0005
56.136,0.00052
56.19,0.0005
56.245,0.00045
56.299,0.00039
56.353,0.00032
56.407,0.00023
56.461,0.00012
56.514,1e-05
56.568,-0.0001
56.621,-0.00018
56.675,-0.00026
56.729,-0.00032
56.782,-0.00038
56.835,-0.00043
56.889,-0.00049
56.942,-0.00058
56.996,-0.00073
57.049,-0.00094
57.102,-0.00126
57.155,-0.0017
57.208,-0.00233
