"Altitude [km]","Refraction []"
34.474,1.001715397
34.854,1.001660895
35.173,1.001615877
35.448,1.001578415
35.585,1.001560116
35.801,1.001531665
35.936,1.001513722
36.1,1.001492353
36.226,1.001476064
36.315,1.001464472
36.446,1.001447701
36.568,1.001432356
36.649,1.001422369
36.74,1.001411351
36.82,1.001401687
36.904,1.001391662
36.967,1.001384034
37.042,1.00137515
37.111,1.001367061
37.186,1.001358429
37.258,1.001349991
37.322,1.001342467
37.396,1.001333812
37.471,1.001324882
37.545,1.001315918
37.586,1.001310888
37.675,1.001300469
37.748,1.001291964
37.81,1.001284796
37.874,1.00127732
37.948,1.001268688
38.017,1.001260571
38.088,1.00125205
38.139,1.001246015
38.197,1.001239375
38.262,1.001231935
38.324,1.001224874
38.371,1.001219484
38.43,1.001213105
38.493,1.001206351
38.558,1.001199404
38.614,1.001193324
38.663,1.001187918
38.716,1.001182192
38.757,1.001177729
38.806,1.001172464
38.872,1.001165227
38.921,1.001159704
38.984,1.001153071
39.038,1.001147605
39.084,1.001142975
39.121,1.001139244
39.163,1.001135047
39.207,1.0011307
39.25,1.001126377
39.293,1.001122037
39.336,1.001117676
39.379,1.001113316
39.421,1.001109032
39.46,1.001104995
39.508,1.001099962
39.555,1.001095035
39.589,1.001091526
39.621,1.001088278
39.658,1.001084462
39.695,1.001080711
39.736,1.001076421
39.773,1.001072488
39.816,1.001068101
39.862,1.001063341
39.905,1.001059009
39.939,1.001055498
39.975,1.001051862
40.021,1.00104696
40.054,1.001043398
40.098,1.001038965
40.144,1.001034433
40.192,1.001029784
40.231,1.001025954
40.272,1.001021975
40.304,1.001018884
40.334,1.001015929
40.366,1.001012756
40.396,1.001009845
40.438,1.001005726
40.485,1.001001194
40.526,1.000997228
40.559,1.000994105
40.599,1.00099021
40.648,1.000985562
40.694,1.000981225
40.731,1.000977744
40.766,1.000974361
40.8,1.000971206
40.831,1.000968284
40.864,1.000965272
40.894,1.000962497
40.928,1.000959357
40.961,1.000956375
40.989,1.000953828
41.025,1.000950487
41.06,1.000947282
41.085,1.000945001
41.121,1.000941695
41.164,1.000937804
41.203,1.000934206
41.236,1.000931249
41.268,1.000928321
41.309,1.000924664
41.349,1.000920974
41.376,1.0009185
41.4,1.000916343
41.43,1.000913649
41.46,1.000910941
41.488,1.000908456
41.516,1.00090597
41.552,1.00090266
41.586,1.000899532
41.615,1.00089696
41.647,1.000894112
41.677,1.000891526
41.707,1.000888936
41.733,1.000886682
41.766,1.000883737
41.802,1.000880694
41.828,1.000878397
41.857,1.000875933
41.888,1.000873237
41.92,1.000870491
41.958,1.00086725
41.985,1.00086485
42.011,1.000862616
42.04,1.000860221
42.069,1.000857766
42.094,1.000855655
42.117,1.000853767
42.141,1.000851768
42.166,1.000849666
42.192,1.00084754
42.221,1.00084521
42.256,1.000842363
42.297,1.000839036
42.34,1.000835582
42.382,1.000832199
42.423,1.000828883
42.46,1.000825834
42.492,1.000823288
42.522,1.000820857
42.559,1.000817859
42.608,1.000813923
42.667,1.000809228
42.726,1.000804409
42.774,1.000800466
42.807,1.00079777
42.839,1.000795073
42.876,1.000791995
42.909,1.000789278
42.942,1.000786589
42.969,1.000784321
42.997,1.00078195
43.02,1.000780012
43.049,1.000777652
43.077,1.000775392
43.104,1.000773266
43.128,1.000771345
43.156,1.000769161
43.192,1.000766339
43.235,1.000762958
43.285,1.000759076
43.337,1.000754936
43.384,1.000751202
43.422,1.000748135
43.455,1.000745384
43.488,1.000742525
43.505,1.000741075
43.528,1.000739315
43.56,1.000736889
43.596,1.000734122
43.632,1.000731399
43.663,1.000728993
43.69,1.000726925
43.716,1.000724922
43.745,1.000722732
43.777,1.000720314
43.811,1.000717784
43.841,1.000715434
43.867,1.000713512
43.887,1.000711907
43.907,1.000710412
43.93,1.000708692
43.955,1.000706826
43.978,1.000705106
44.003,1.000703309
44.034,1.000701009
44.073,1.000698234
44.111,1.000695425
44.149,1.000692715
44.183,1.000690232
44.211,1.000688125
44.238,1.000686209
44.262,1.000684393
44.287,1.000682621
44.313,1.000680757
44.342,1.000678668
44.37,1.000676643
44.398,1.000674574
44.426,1.000672592
44.452,1.00067078
44.48,1.000668821
44.509,1.000666864
44.536,1.000665013
44.564,1.000663111
44.596,1.000660956
44.635,1.00065841
44.677,1.000655579
44.717,1.000652935
44.752,1.000650624
44.784,1.000648482
44.815,1.000646447
44.84,1.000644799
44.863,1.000643316
44.894,1.000641335
44.939,1.000638522
44.99,1.000635309
45.04,1.000632238
45.086,1.000629334
45.132,1.000626474
45.177,1.000623648
45.218,1.000621139
45.257,1.00061872
45.297,1.000616246
45.34,1.000613608
45.388,1.000610753
45.437,1.000607806
45.484,1.000604967
45.528,1.000602323
45.571,1.000599773
45.614,1.000597243
45.672,1.000593904
45.755,1.000589087
45.861,1.000582999
45.963,1.000576986
46.042,1.000572268
46.097,1.000568856
46.136,1.000566422
46.163,1.000564707
46.192,1.000562933
46.224,1.000560927
46.256,1.00055899
46.291,1.000556896
46.332,1.000554442
46.371,1.000552046
46.406,1.000549959
46.435,1.000548203
46.461,1.000546654
46.518,1.00054341
46.568,1.000540642
46.638,1.000536698
46.681,1.000534295
46.708,1.000532748
46.754,1.000530193
46.792,1.000528106
46.852,1.000524888
46.915,1.000521505
46.974,1.000518312
47.02,1.000515837
47.076,1.000512843
47.115,1.000510738
47.167,1.000507967
47.194,1.000506493
47.253,1.000503455
47.361,1.000497893
47.407,1.00049543
47.459,1.000492754
47.528,1.000489264
47.591,1.000486108
47.642,1.000483586
47.735,1.000479029
47.84,1.000473853
47.905,1.000470579
47.974,1.000467093
48.029,1.000464304
48.08,1.000461691
48.127,1.000459305
48.179,1.000456634
48.214,1.000454869
48.263,1.000452424
48.308,1.000450235
48.357,1.00044784
48.423,1.000444669
48.457,1.000442969
48.514,1.00044027
48.557,1.000438232
48.628,1.00043499
48.69,1.000432108
48.758,1.000429027
48.827,1.00042585
48.888,1.000423052
48.95,1.00042023
49.002,1.000417903
49.059,1.000415349
49.13,1.000412251
49.205,1.000408947
49.276,1.000405865
49.37,1.000401813
