"z [km]","T [K]","p [bar]","ρ [kg/m3]","ς []","Γ [K/km]","g [m/s2]"
0,735.3,92.10,64.79,1.0100,8.06,8.869
1,727.7,86.45,61.56,1.0083,8.09,8.867
2,720.2,81.09,58.45,1.0065,8.10,8.864
3,712.4,76.01,55.47,1.0050,8.12,8.861
4,704.6,71.20,52.62,1.0034,8.14,8.858
5,696.8,66.65,49.87,1.0022,8.17,8.855
6,688.8,62.35,47.24,1.0010,8.19,8.852
7,681.1,58.28,44.71,1.0000,8.21,8.849
8,673.6,54.44,42.26,0.9990,8.24,8.846
9,665.8,50.81,39.95,0.9981,8.26,8.843
10,658.2,47.39,37.72,0.9973,8.28,8.840
11,650.6,44.16,35.58,0.9966,8.30,8.837
12,643.2,41.12,33.54,0.9958,8.32,8.834
13,635.5,38.26,31.60,0.9954,8.34,8.831
14,628.1,35.57,29.74,0.9949,8.36,8.829
15,620.8,33.04,27.95,0.9947,8.39,8.826
16,613.3,30.66,26.27,0.9944,8.41,8.823
17,605.2,28.43,24.68,0.9942,8.44,8.820
18,597.1,26.33,23.18,0.9939,8.46,8.817
19,589.3,24.36,21.74,0.9937,8.49,8.814
20,580.7,22.52,20.39,0.9935,8.52,8.811
21,572.4,20.79,19.11,0.9933,8.55,8.808
22,564.3,19.17,17.88,0.9931,8.58,8.805
23,556.0,17.66,16.71,0.9930,8.60,8.802
24,547.5,16.25,15.62,0.9929,8.64,8.800
25,539.2,14.93,14.57,0.9929,8.67,8.797
26,530.7,13.70,13.59,0.9928,8.70,8.794
27,522.3,12.56,12.65,0.9928,8.74,8.791
28,513.8,11.49,11.77,0.9928,8.77,8.788
29,505.6,10.50,10.93,0.9929,8.80,8.785
30,496.9,9.581,10.15,0.9929,8.84,8.782
31,488.3,8.729,9.406,0.9930,8.87,8.779
32,479.9,7.940,8.704,0.9931,8.91,8.776
