"z [km]","T [K]","p [bar]","ρ [kg/m3]"
33,471.7,7.211,8.041
34,463.4,6.537,7.420
35,455.0,5.916,6.838
36,446.8,5.345,6.291
37,438.6,4.820,5.777
38,430.8,4.338,5.292
39,423.3,3.897,4.835
40,415.5,3.495,4.418
41,408.1,3.127,4.024
42,401.6,2.793,3.652
43,395.0,2.491,3.310
44,388.3,2.216,2.996
45,381.8,1.969,2.704
46,376.1,1.745,2.434
47,370.2,1.544,2.187
48,364.6,1.364,1.961
49,357.5,1.202,1.758
50,349.7,1.057,1.584
51,341.1,0.9258,1.422
52,332.5,0.8087,1.274
53,321.9,0.7036,1.146
54,312.3,0.6095,1.022
55,301.4,0.5255,0.9132
56,290.2,0.4505,0.8132
57,278.3,0.3839,0.7224
58,267.4,0.3249,0.6363
59,258.7,0.2733,0.5531
60,253.3,0.2289,0.4729
62,246.2,0.1591,0.3381
64,240.7,0.1096,0.2381
66,235.8,7.489e-2,0.1660
68,231.9,5.082e-2,0.1146
70,228.2,3.428e-2,7.852e-2
72,224.6,2.298e-2,5.348e-2
74,221.0,1.531e-2,3.621e-2
76,216.2,1.012e-2,2.447e-2
78,210.4,6.625e-3,1.645e-2
80,202.5,4.278e-3,1.104e-2
82,195.5,2.718e-3,7.264e-3
84,188.6,1.699e-3,4.707e-3
86,181.8,1.044e-3,3.001e-3
88,176.6,6.317e-4,1.868e-3
90,172.3,3.772e-4,1.143e-3
92,170.4,2.233e-4,6.837e-4
94,169.5,1.317e-4,4.051e-4
96,170.0,7.768e-5,2.381e-4
98,170.9,4.595e-5,1.400e-4
100,172.2,2.729e-5,8.240e-5
