"z [km]","T [K]","p [bar]","ρ [kg/m3]"
33,471.7,7.211,8.041
34,463.4,6.537,7.420
35,455.0,5.916,6.838
36,446.7,5.344,6.291
37,438.5,4.819,5.777
38,430.4,4.337,5.296
39,422.0,3.896,4.850
40,414.2,3.492,4.429
41,406.4,3.123,4.037
42,399.4,2.788,3.664
43,391.4,2.483,3.326
44,384.5,2.208,3.013
45,377.7,1.959,2.720
46,370.7,1.733,2.452
47,363.6,1.531,2.208
48,357.0,1.349,1.981
49,350.1,1.185,1.771
50,342.9,1.040,1.588
51,334.7,0.9085,1.422
52,326.1,0.7915,1.272
53,315.4,0.6867,1.140
54,305.0,0.5930,1.018
55,294.4,0.5095,0.9064
56,283.2,0.4352,0.8048
57,271.3,0.3693,0.7128
58,261.0,0.3113,0.6245
59,251.0,0.2607,0.5436
60,243.0,0.2169,0.4671
62,230.1,0.1477,0.3359
64,225.5,9.918e-2,0.2301
66,228.0,6.648e-2,0.1524
68,231.1,4.479e-2,0.1013
70,231.9,3.028e-2,6.826e-2
72,230.8,2.047e-2,4.637e-2
74,228.3,1.380e-2,3.159e-2
76,223.9,9.251e-3,2.159e-2
78,217.3,6.142e-3,1.477e-2
80,208.3,4.018e-3,1.008e-2
82,199.7,2.582e-3,6.754e-3
84,191.7,1.629e-3,4.438e-3
86,183.8,1.008e-3,2.865e-3
88,178.4,6.132e-4,1.795e-3
90,173.9,3.680e-4,1.105e-3
92,171.8,2.187e-4,6.642e-4
94,170.2,1.294e-4,3.964e-4
96,169.7,7.637e-5,2.345e-4
98,169.0,4.502e-5,1.387e-4
100,168.8,2.652e-5,8.170e-5
