"z [km]","T [K]","p [bar]","ρ [kg/m3]"
33,470.2,7.210,8.066
34,461.5,6.534,7.447
35,452.6,5.911,6.868
36,443.7,5.336,6.324
37,434.8,4.808,5.813
38,426.0,4.323,5.333
39,416.8,3.878,4.889
40,407.8,3.471,4.471
41,399.2,3.099,4.077
42,390.4,2.760,3.712
43,381.8,2.452,3.371
44,372.7,2.173,3.059
45,363.4,1.919,2.770
46,354.0,1.690,2.504
47,345.4,1.483,2.251
48,337.1,1.298,2.018
49,327.9,1.132,1.805
50,319.1,0.9826,1.684
51,309.8,0.8500,1.438
52,301.0,0.7322,1.274
53,290.5,0.6277,1.132
54,280.4,0.5351,1.000
55,269.8,0.4536,0.8805
56,258.4,0.3818,0.7739
57,247.8,0.3190,0.6741
58,239.8,0.2648,0.5780
59,238.9,0.21189,0.4798
60,242.5,0.1813,0.3912
62,249.1,0.1253,0.2631
64,244.9,8.676e-2,0.1853
66,242.0,5.977e-2,0.1291
68,244.2,4.116e-2,8.812e-2
70,243.5,2.839e-2,6.094e-2
72,241.5,1.954e-2,4.230e-2
74,240.2,1.342e-2,2.920e-2
76,235.0,9.172e-3,2.040e-2
78,225.0,6.192e-3,1.438e-2
80,213.9,4.103e-3,1.002e-2
82,206.2,2.670e-3,6.765e-3
84,198.6,1.710e-3,4.498e-3
86,191.4,1.077e-3,2.940e-3
88,186.3,6.686e-4,1.874e-3
90,181.3,4.099e-4,1.180e-3
92,177.5,2.484e-4,7.302e-4
94,173.5,1.490e-4,4.477e-4
96,170.2,8.845e-5,2.708e-4
98,167.6,5.207e-5,1.618e-4
100,166.1,3.048e-5,9.545e-5
