"H [km]","Ls = 20°-90°, P [bar]","Ls = 20°-90°, T [K]","Ls = 90°-130°, P [bar]","Ls = 90°-130°, T [K]","Ls = 200°-270°, P [bar]","Ls = 200°-270°, T [K]","Ls = 270°-310°, P [bar]","Ls = 270°-310°, T [K]"
100,0.2653e-4,180.9,0.2543e-4,173.0,0.2638e-4,174.4,0.2438e-4,172.3
99,0.3405e-4,179.6,0.3299e-4,172.3,0.3415e-4,173.6,0.3169e-4,170.7
98,0.4378e-4,178.4,0.4285e-4,171.7,0.4427e-4,172.7,0.4130e-4,169.0
97,0.5637e-4,177.3,0.5570e-4,171.2,0.5748e-4,171.9,0.5396e-4,167.6
96,0.7273e-4,176.0,0.7246e-4,170.7,0.7472e-4,171.1,0.7065e-4,166.2
95,0.9401e-4,174.8,0.9434e-4,170.3,0.9725e-4,170.5,0.9273e-4,165.0
94,0.1216e-3,174.6,0.1228e-3,170.8,0.1266e-3,170.8,0.1218e-3,165.1
93,0.1574e-3,174.8,0.1597e-3,171.6,0.1647e-3,171.4,0.1599e-3,165.7
92,0.2036e-3,175.0,0.2075e-3,172.3,0.2141e-3,171.8,0.2097e-3,166.3
91,0.2633e-3,175.2,0.2694e-3,173.0,0.2781e-3,172.3,0.2748e-3,166.9
90,0.3405e-3,175.3,0.3493e-3,173.8,0.3611e-3,172.7,0.3597e-3,167.7
89,0.4401e-3,176.1,0.4522e-3,175.4,0.4683e-3,174.1,0.4697e-3,169.8
88,0.5678e-3,177.5,0.5835e-3,177.7,0.6059e-3,175.8,0.6110e-3,172.7
87,0.7311e-3,179.2,0.7505e-3,180.3,0.7817e-3,177.9,0.7910e-3,176.3
86,0.9387e-3,181.3,0.9616e-3,183.3,0.1006e-2,180.0,0.1018e-2,180.4
85,0.1202e-2,183.9,0.1227e-2,186.7,0.1289e-2,182.8,0.1302e-2,185.3
84,0.1532e-2,187.0,0.1558e-2,190.4,0.1646e-2,185.8,0.1655e-2,190.5
83,0.1946e-2,190.5,0.1969e-2,194.3,0.2094e-2,189.3,0.2089e-2,196.0
82,0.2460e-2,194.4,0.2478e-2,198.1,0.2651e-2,193.0,0.2622e-2,200.9
81,0.3095e-2,198.4,0.3106e-2,201.5,0.3341e-2,197.0,0.3274e-2,205.0
80,0.3876e-2,202.3,0.3879e-2,204.7,0.4190e-2,201.2,0.4072e-2,208.5
79,0.4835e-2,206.2,0.4828e-2,207.8,0.5230e-2,205.8,0.5048e-2,211.7
78,0.6006e-2,210.0,0.5990e-2,211.0,0.6497e-2,210.5,0.6240e-2,214.5
77,0.7435e-2,213.3,0.7409e-2,213.9,0.8035e-2,214.4,0.7695e-2,216.7
76,0.9178e-2,216.1,0.9141e-2,216.4,0.9903e-2,218.0,0.9473e-2,218.4
75,0.1130e-1,218.8,0.1125e-1,218.8,0.1217e-1,221.1,0.1164e-1,220.1
74,0.1388e-1,221.4,0.1382e-1,220.9,0.1491e-1,224.1,0.1429e-1,221.7
73,0.1700e-1,223.9,0.1695e-1,222.6,0.1822e-1,226.5,0.1752e-1,223.0
72,0.2079e-1,225.9,0.2077e-1,223.8,0.2224e-1,228.3,0.2145e-1,224.3
71,0.2539e-1,227.6,0.2542e-1,224.8,0.2710e-1,229.9,0.2624e-1,225.7
70,0.3097e-1,228.9,0.3109e-1,225.5,0.3298e-1,231.2,0.3205e-1,227.1
69,0.3774e-1,229.8,0.3801e-1,226.0,0.4011e-1,232.4,0.3911e-1,228.5
68,0.4596e-1,230.5,0.4644e-1,226.6,0.4874e-1,233.4,0.4767e-1,230.0
67,0.5595e-1,231.0,0.5673e-1,227.3,0.5916e-1,234.6,0.5802e-1,231.5
66,0.6809e-1,231.6,0.6925e-1,228.0,0.7175e-1,236.0,0.7055e-1,232.9
65,0.8281e-1,232.5,0.8446e-1,229.2,0.8691e-1,237.6,0.8567e-1,234.6
64,0.1006,233.7,0.1029,231.1,0.1051,239.5,0.1039,236.5
63,0.1221,235.5,0.1251,233.7,0.1270,241.9,0.1257,238.8
62,0.1479,237.9,0.1517,237.2,0.1530,244.4,0.1519,241.4
61,0.1789,241.0,0.1833,241.9,0.1841,247.4,0.1831,244.7
60,0.2157,244.5,0.2207,247.1,0.2209,250.4,0.2202,248.3
59,0.2592,249.2,0.2646,254.1,0.2644,255.3,0.2639,253.8
58,0.3104,255.5,0.3154,261.9,0.3153,261.4,0.3148,260.5
57,0.3695,265.0,0.3739,271.6,0.3738,270.8,0.3735,270.1
56,0.4370,275.7,0.4405,281.6,0.4406,281.2,0.4404,280.5
55,0.5133,286.8,0.5159,291.9,0.5162,291.5,0.5161,291.0
54,0.5995,298.0,0.6010,302.2,0.6014,301.9,0.6015,301.5
53,0.6960,309.3,0.6966,312.6,0.6972,312.4,0.6974,312.0
52,0.8038,320.6,0.8035,323.0,0.8043,322.8,0.8046,322.6
51,0.9238,332.1,0.9227,333.5,0.9236,333.3,0.9241,333.2
50,1.056,344.7,1.054,344.9,1.055,344.8,1.056,344.9
