"Weight Percentage [%]","Density [g/cm3]"
0.5,1.0016
1.0,1.0049
2.0,1.0116
3.0,1.0183
4.0,1.0250
5.0,1.0318
6.0,1.0385
7.0,1.0453
8.0,1.0522
9.0,1.0591
10.0,1.0661
12.0,1.0802
14.0,1.0947
16.0,1.1094
18.0,1.1245
20.0,1.1398
22.0,1.1554
24.0,1.1714
26.0,1.1872
28.0,1.2031
30.0,1.2191
32.0,1.2353
34.0,1.2518
36.0,1.2685
38.0,1.2855
40.0,1.3028
42.0,1.3205
44.0,1.3386
46.0,1.3570
48.0,1.3759
50.0,1.3952
52.0,1.4149
54.0,1.4351
56.0,1.4558
58.0,1.4770
60.0,1.4987
70.0,1.6105
80.0,1.7272
90.0,1.8144
92.0,1.8240
94.0,1.8312
96.0,1.8355
98.0,1.8361
100.0,1.8305
