"NTOT [cm-3]","P [mbar]","SS [cm/s]","MFP [cm]","HP [km]","HRHO [km]"
.175E+11,.596E-06,.290E+05,.141E+05,7.1,6.0
.868E+10,.308E-06,.310E+05,.309E+05,8.1,6.7
.473E+10,.173E-06,.330E+05,.622E+05,9.2,7.5
.279E+10,.104E-06,.351E+05,.116E+06,10.4,8.4
.175E+10,.661E-07,.370E+05,.203E+06,11.6,9.5
.115E+10,.439E-07,.387E+05,.335E+06,12.8,10.6
.782E+09,.301E-07,.402E+05,.528E+06,13.8,11.7
.547E+09,.212E-07,.414E+05,.800E+06,14.6,12.7
.391E+09,.152E-07,.423E+05,.118E+07,15.4,13.7
.283E+09,.110E-07,.431E+05,.169E+07,15.9,14.5
.208E+09,.809E-08,.437E+05,.237E+07,16.4,15.2
.153E+09,.599E-08,.442E+05,.329E+07,16.8,15.8
.114E+09,.446E-08,.446E+05,.452E+07,17.1,16.2
.854E+08,.334E-08,.449E+05,.613E+07,17.4,16.6
.642E+08,.251E-08,.452E+05,.827E+07,17.7,16.9
.484E+08,.189E-08,.455E+05,.111E+08,17.9,17.2
.367E+08,.143E-08,.457E+05,.147E+08,18.1,17.4
.279E+08,.109E-08,.460E+05,.195E+08,18.4,17.6
.213E+08,.832E-09,.463E+05,.256E+08,18.6,17.8
.163E+08,.638E-09,.466E+05,.335E+08,18.9,17.9
.125E+08,.491E-09,.470E+05,.436E+08,19.2,18.1
