"altitude [km]","CO2 Volume Percent [%]","CO2 Volume Percent Error [%]","CO2 Molar Fraction [ppm]","CO2 Molar Fraction Error [ppm]","N2 Volume Percent [%]","N2 Volume Percent Error [%]","N2 Molar Fraction [ppm]","N2 Molar Fraction Error [ppm]"
0.2,97.34,4.90,9.73E+05,4.90E+04,2.66,0.35,2.66E+04,3.48E+03
0.9,97.39,4.90,9.74E+05,4.90E+04,2.61,0.34,2.61E+04,3.43E+03
1.5,97.44,4.91,9.74E+05,4.91E+04,2.56,0.34,2.56E+04,3.36E+03
2.2,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
3,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
3.7,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
4.5,97.43,4.91,9.74E+05,4.91E+04,2.57,0.34,2.57E+04,3.37E+03
5.3,97.34,4.90,9.73E+05,4.90E+04,2.66,0.35,2.66E+04,3.49E+03
6.2,97.38,4.90,9.74E+05,4.90E+04,2.62,0.34,2.62E+04,3.44E+03
7,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
8.2,97.52,4.91,9.75E+05,4.91E+04,2.48,0.55,2.48E+04,5.46E+03
9.1,97.74,4.93,9.77E+05,4.93E+04,2.26,0.43,2.26E+04,4.34E+03
10.2,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
11.1,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
12.2,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
13.3,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
14.5,97.55,4.92,9.76E+05,4.92E+04,2.45,0.32,2.45E+04,3.21E+03
15.6,97.15,4.89,9.71E+05,4.89E+04,2.85,0.37,2.85E+04,3.74E+03
16.7,96.74,4.86,9.67E+05,4.86E+04,3.26,0.43,3.26E+04,4.27E+03
17.9,96.21,4.83,9.62E+05,4.83E+04,3.79,0.50,3.79E+04,4.97E+03
19.1,97.12,4.89,9.71E+05,4.89E+04,2.88,0.38,2.88E+04,3.77E+03
20.3,95.91,4.81,9.59E+05,4.81E+04,4.09,0.54,4.09E+04,5.36E+03
21.6,96.93,4.87,9.69E+05,4.87E+04,3.07,0.40,3.07E+04,4.02E+03
23,95.92,4.81,9.59E+05,4.81E+04,4.08,0.53,4.08E+04,5.34E+03
24.4,96.61,4.85,9.66E+05,4.85E+04,3.39,0.44,3.39E+04,4.44E+03
51.3,94.78,4.74,9.48E+05,4.74E+04,4.96,0.65,4.96E+04,6.50E+03
52.7,94.81,4.72,9.48E+05,4.72E+04,5.19,1.14,5.19E+04,1.14E+04
54,94.83,4.75,9.48E+05,4.75E+04,5.17,0.99,5.17E+04,9.92E+03
55.4,94.53,4.73,9.45E+05,4.73E+04,5.47,0.72,5.47E+04,7.17E+03
58.3,94.77,4.74,9.48E+05,4.74E+04,5.23,0.69,5.23E+04,6.86E+03
