"z [km]","T [K]","p [bar]","ρ [kg/m3]","ς []","Γ [K/km]","g [m/s2]","R [J/kg K]"
33,471.7,7.211,8.041,0.9932,8.95,8.774,191.40
34,463.4,6.537,7.420,0.9933,9.00,8.771,191.40
35,455.5,5.917,6.831,0.9935,9.04,8.768,191.40
36,448.0,5.346,6.274,0.9937,9.08,8.765,191.40
37,439.9,4.822,5.762,0.9939,9.12,8.762,191.40
38,432.5,4.342,5.276,0.9941,9.17,8.759,191.40
39,425.1,3.903,4.823,0.9944,9.22,8.756,191.40
40,417.6,3.501,4.404,0.9946,9.26,8.753,191.40
41,410.0,3.135,4.015,0.9949,9.31,8.750,191.40
42,403.5,2.802,3.646,0.9951,9.35,8.748,191.40
43,397.1,2.499,3.303,0.9954,9.40,8.745,191.40
44,391.2,2.226,2.985,0.9957,9.44,8.742,191.40
45,385.4,1.979,2.693,0.9960,9.48,8.739,191.40
46,379.7,1.756,2.426,0.9962,9.52,8.736,191.40
47,373.1,1.556,2.186,0.9964,9.57,8.733,191.40
48,366.4,1.375,1.967,0.9966,9.62,8.730,191.40
49,358.6,1.213,1.769,0.9988,9.68,8.728,191.40
50,350.5,1.066,1.594,0.9970,9.76,8.725,191.40
51,342.0,0.9347,1.432,0.9971,9.83,8.722,191.40
52,333.3,0.8167,1.284,0.9972,9.91,8.719,191.40
53,323.0,0.7109,1.153,0.9973,10.01,8.716,191.40
54,312.8,0.6160,1.032,0.9974,10.13,8.713,191.40
55,302.3,0.5314,0.9207,0.9975,10.25,8.710,191.40
56,291.8,0.4559,0.8183,0.9976,10.38,8.708,191.40
57,282.5,0.3891,0.7212,0.9978,10.50,8.705,191.40
58,275.2,0.3306,0.6289,0.9979,10.59,8.702,191.40
59,268.7,0.2796,0.5448,0.9981,10.67,8.699,191.40
60,262.8,0.2357,0.4694,0.9982,10.75,8.696,191.40
62,254.5,0.1659,0.3411,0.9986,10.85,8.690,191.40
64,245.4,0.1156,0.2443,0.9989,10.98,8.684,191.40
66,241.0,7.970e-2,0.1729,0.9993,11.04,8.679,191.40
68,235.4,5.447e-2,0.1210,0.9994,11.11,8.673,191.40
70,229.8,3.690e-2,8.393e-2,0.9995,11.19,8.667,191.40
72,224.1,2.476e-2,5.775e-2,0.9996,11.25,8.662,191.40
74,218.6,1.645e-2,3.933e-2,0.9997,11.25,8.656,191.40
76,212.1,1.081e-2,2.663e-2,0.9998,11.25,8.650,191.40
78,205.3,7.011e-3,1.784e-2,0.9998,11.25,8.645,191.40
80,197.1,4.476e-3,1.186e-2,0.9998,11.25,8.639,191.40
82,189.9,2.808e-3,7.725e-3,0.9998,11.25,8.634,191.40
84,183.8,1.733e-3,4.926e-3,0.9998,11.25,8.628,191.42
86,178.2,1.053e-3,3.088e-3,0.9998,11.25,8.622,191.46
88,173.6,6.312e-4,1.898e-3,0.9998,11.25,8.617,191.53
90,169.4,3.736e-4,1.151e-3,0.9998,11.25,8.611,191.57
92,167.2,2.191e-4,6.836e-4,0.9998,11.25,8.605,191.66
94,167.2,1.281e-4,3.995e-4,0.9998,11.25,8.600,191.80
96,169.2,7.519e-5,2.314e-4,0.9998,11.25,8.594,191.93
98,172.0,4.450e-5,1.347e-4,0.9998,11.25,8.589,192.06
100,175.4,2.660e-5,7.890e-5,0.9998,11.25,8.583,192.24
