"z [km]","T [K]","p [bar]","ρ [kg/m3]"
33,471.7,7.211,8.041
34,463.4,6.537,7.420
35,455.0,5.916,6.838
36,446.5,5.345,6.294
37,437.8,4.819,5.786
38,429.5,4.336,5.275
39,420.5,3.894,4.865
40,412.0,3.488,4.448
41,402.9,3.118,4.064
42,394.5,2.780,3.701
43,386.1,2.473,3.362
44,377.3,2.194,3.051
45,368.7,1.941,2.762
46,360.0,1.712,2.495
47,351.9,1.506,2.245
48,343.5,1.321,2.016
49,335.4,1.155,1.802
50,327.3,1.007,1.612
51,318.5,0.8741,1.438
52,310.2,0.7561,1.277
53,300.1,0.6513,1.137
54,290.0,0.5582,1.009
55,279.7,0.4758,0.8909
56,269.2,0.4031,0.7841
57,258.2,0.3392,0.6878
58,248.4,0.2834,0.5974
59,241.8,0.2355,0.5097
60,237.5,0.1948,0.4293
62,231.1,0.1322,0.2993
64,234.3,8.950e-2,0.1998
66,238.3,6.097e-2,0.1338
68,242.0,4.180e-2,9.030e-2
70,244.2,2.880e-2,6.164e-2
72,243.6,1.987e-2,4.263e-2
74,240.5,1.367e-2,2.971e-2
76,234.9,9.345e-3,2.079e-2
78,224.0,6.303e-3,1.470e-2
80,214.7,4.176e-3,1.016e-2
82,205.3,2.717e-3,6.915e-3
84,196.1,1.734e-3,4.618e-3
86,187.8,1.084e-3,3.016e-3
88,182.4,6.665e-4,1.908e-3
90,178.1,4.047e-4,1.186e-3
92,175.1,2.433e-4,7.250e-4
94,172.0,1.451e-4,4.398e-4
96,169.6,8.586e-5,2.638e-4
98,167.4,5.048e-5,1.570e-4
100,166.1,2.954e-5,9.250e-5
