"z [km]","T [K]","p [bar]","ρ [kg/m3]","n [m-3]","λ [m]","cp [J/kg K]","cp/cv []","a [m/s]","μ [kg/ms]","ν [m2/s]","k [W/mK]"
0,735.3,92.10,64.79,8.98e26,1.61e-9,1.181e3,1.193,410,3.35e-5,5.17e-7,5.88e-2
5,696.8,66.65,49.87,6.91e26,2.09e-9,1.159e3,1.198,400,2.21e-5,6.43e-7,5.21e-2
10,658.2,47.39,37.72,5.23e26,2.76e-9,1.138e3,1.202,389,2.08e-5,8.19e-7,4.70e-2
15,620.8,33.04,27.95,3.88e26,3.72e-9,1.116e3,1.207,379,2.94e-5,9.92e-7,4.32e-2
20,580.7,22.52,20.39,2.87e26,5.11e-9,1.091e3,1.213,367,2.78e-5,1.37e-6,3.95e-2
25,539.2,14.93,14.57,2.02e26,7.15e-9,1.062e3,1.220,355,2.67e-5,1.83e-6,3.62e-2
30,496.9,9.581,10.15,1.41e26,1.02e-8,1.030e3,1.228,342,2.52e-5,2.50e-6,3.36e-2
35,455.5,5.917,6.831,9.47e25,1.52e-8,9.96e2,1.238,329,2.38e-5,3.50e-6,3.09e-2
40,417.6,3.501,4.404,6.11e25,2.36e-8,9.64e2,1.248,316,2.25e-5,5.12e-6,2.86e-2
45,385.4,1.979,2.693,3.73e25,3.87e-8,9.36e2,1.257,304,2.14e-5,7.95e-6,2.64e-2
50,350.5,1.066,1.594,2.21e25,6.54e-8,9.04e2,1.268,292,2.01e-5,1.27e-5,2.43e-2
55,302.3,5.314e-1,9.207e-1,1.28e25,1.13e-7,8.59e2,1.287,273,1.83e-5,1.99e-5,2.23e-2
60,262.8,2.357e-1,4.694e-1,6.51e24,2.22e-7,8.21e2,1.304,256,1.67e-5,3.56e-5,2.04e-2
70,229.8,3.690e-2,8.393e-2,1.16e24,1.24e-6,7.89e2,1.320,241,1.54e-5,1.83e-4,1.70e-2
80,197.1,4.476e-3,1.186e-2,1.64e23,8.80e-6,7.57e2,1.338,225,1.39e-5,1.17e-3,1.39e-2
90,169.4,3.736e-4,1.151e-3,1.60e22,9.03e-5,7.33e2,1.353,209,1.26e-5,1.09e-2,1.25e-2
100,175.4,2.660e-5,7.890e-5,1.09e21,1.32e-3,7.38e2,1.352,213,1.29e-5,1.63e-1,1.28e-2
