"H [km]","Ls = 20°-90°, P [bar]","Ls = 20°-90°, T [K]","Ls = 90°-130°, P [bar]","Ls = 90°-130°, T [K]","Ls = 200°-270°, P [bar]","Ls = 200°-270°, T [K]","Ls = 270°-310°, P [bar]","Ls = 270°-310°, T [K]"
100,0.2134e-4,177.8,0.2185e-4,169.7,0.2366e-4,171.6,0.2335e-4,172.0
99,0.2750e-4,176.7,0.2848e-4,169.3,0.3075e-4,171.1,0.3035e-4,171.2
98,0.3549e-4,175.9,0.3714e-4,169.3,0.3999e-4,170.9,0.3948e-4,170.6
97,0.4585e-4,175.3,0.4843e-4,169.5,0.5204e-4,170.7,0.5141e-4,170.1
96,0.5930e-4,174.6,0.6314e-4,169.7,0.6772e-4,170.6,0.6700e-4,169.5
95,0.7678e-4,173.8,0.8228e-4,170.0,0.8816e-4,170.6,0.8740e-4,169.0
94,0.9951e-4,173.3,0.1072e-3,170.6,0.1147e-3,171.0,0.1141e-3,169.1
93,0.1290e-3,173.5,0.1394e-3,171.5,0.1492e-3,171.8,0.1488e-3,169.6
92,0.1672e-3,173.8,0.1811e-3,172.5,0.1937e-3,172.7,0.1940e-3,170.1
91,0.2166e-3,174.3,0.2349e-3,173.5,0.2513e-3,173.5,0.2526e-3,170.7
90,0.2804e-3,174.7,0.3043e-3,174.6,0.3256e-3,174.2,0.3287e-3,171.4
89,0.3628e-3,175.1,0.3934e-3,176.2,0.4213e-3,175.6,0.4272e-3,172.8
88,0.4687e-3,176.9,0.5072e-3,178.5,0.5436e-3,177.9,0.5535e-3,175.0
87,0.6037e-3,179.1,0.6515e-3,181.3,0.6990e-3,180.4,0.7145e-3,177.7
86,0.7750e-3,181.9,0.8336e-3,184.4,0.8956e-3,183.2,0.9186e-3,180.9
85,0.9908e-3,184.9,0.1062e-2,188.0,0.1143e-2,186.5,0.1175e-2,184.7
84,0.1261e-2,189.1,0.1346e-2,192.1,0.1452e-2,190.5,0.1496e-2,189.0
83,0.1596e-2,193.6,0.1697e-2,196.4,0.1835e-2,194.4,0.1893e-2,193.7
82,0.2008e-2,198.4,0.2130e-2,200.5,0.2309e-2,198.2,0.2383e-2,198.2
81,0.2514e-2,203.1,0.2662e-2,203.9,0.2893e-2,201.7,0.2984e-2,202.5
80,0.3131e-2,207.6,0.3316e-2,207.0,0.3611e-2,205.2,0.3721e-2,206.4
79,0.3882e-2,211.7,0.4118e-2,210.0,0.4492e-2,208.6,0.4621e-2,210.0
78,0.4797e-2,215.3,0.5100e-2,212.6,0.5567e-2,212.2,0.5720e-2,213.4
77,0.5907e-2,218.7,0.6299e-2,215.3,0.6875e-2,215.8,0.7057e-2,216.6
76,0.7253e-2,221.4,0.7760e-2,218.2,0.8463e-2,219.3,0.8683e-2,219.4
75,0.8887e-2,223.8,0.9535e-2,221.0,0.1038e-2,222.6,0.1066e-2,222.0
74,0.1087e-2,225.9,0.1169e-1,223.6,0.1271e-1,225.4,0.1305e-1,224.3
73,0.1327e-1,227.8,0.1429e-1,226.0,0.1551e-1,228.0,0.1595e-1,226.4
72,0.1617e-1,229.3,0.1744e-1,228.0,0.1890e-1,230.1,0.1947e-1,228.1
71,0.1970e-1,230.5,0.2127e-1,229.4,0.2300e-1,231.6,0.2373e-1,229.5
70,0.2397e-1,231.1,0.2590e-1,230.2,0.2796e-1,232.6,0.2890e-1,230.6
69,0.2917e-1,231.2,0.3154e-1,230.3,0.3397e-1,232.9,0.3517e-1,231.2
68,0.3551e-1,230.4,0.3842e-1,229.5,0.4129e-1,232.6,0.4280e-1,231.4
67,0.4327e-1,228.8,0.4686e-1,228.0,0.5021e-1,231.7,0.5207e-1,231.2
66,0.5283e-1,226.5,0.5725e-1,226.1,0.6112e-1,230.5,0.6339e-1,230.8
65,0.6465e-1,224.1,0.7006e-1,224.2,0.7447e-1,229.4,0.7720e-1,230.3
64,0.7929e-1,221.8,0.8588e-1,222.8,0.9083e-1,228.6,0.9404e-1,230.5
63,0.9742e-1,220.1,0.1053,222.5,0.1108,228.7,0.1145,231.4
62,0.1198,220.2,0.1291,223.8,0.1351,230.1,0.1392,233.6
61,0.1472,221.1,0.1580,226.6,0.1644,232.8,0.1689,236.8
60,0.1806,224.0,0.1927,230.8,0.1996,236.4,0.2042,241.0
59,0.2209,226.6,0.2342,235.4,0.2415,240.0,0.2461,245.8
58,0.2696,229.7,0.2835,240.0,0.2914,244.1,0.2955,251.1
57,0.3283,232.7,0.3419,245.3,0.3500,251.6,0.3532,257.5
56,0.3983,238.1,0.4103,253.3,0.4177,261.7,0.4202,265.4
55,0.4793,252.1,0.4886,266.0,0.4947,274.0,0.4968,276.7
54,0.5703,268.3,0.5768,279.9,0.5815,286.6,0.5831,289.0
53,0.6716,285.0,0.6753,294.1,0.6787,299.5,0.6799,301.4
52,0.7835,302.2,0.7848,308.7,0.7871,312.6,0.7879,313.9
51,0.9062,319.9,0.9058,323.6,0.9072,325.8,0.9077,326.7
50,1.039,338.5,1.038,339.2,1.039,339.9,1.039,340.1
